sentence,hypothesis,features,amibiguity
"define intent stnIntent: for group('students') set quota('upload', '9', 'gb/wk')","define intent hypIntent: for group('students') set quota('upload', '5', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set quota('upload', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.66') set quota('download', '7', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.485894066521788, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('min', '90', 'mbps')","define intent hypIntent: for group('students') set bandwidth('max', '40', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '70', 'mbps')","define intent hypIntent: for group('guest networks') set quota('upload', '5', 'gb/wk')","[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('upload', '2', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.8') set quota('any', '5', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.9243574056146713, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '7', 'gb/wk')","define intent hypIntent: for group('students') set quota('download', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') allow service('irc'), service('amazon prime video')",define intent hypIntent: for group('visitors') block traffic('peer2peer') protocol('http'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') unset quota('upload', '9', 'gb/wk') start hour('02:00') end hour('11:20')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.49') set bandwidth('min', '70', 'mbps') start hour('15:00') end hour('16:20')","[3, 1, 0, 1, 0, 1, 0, 3.3121894640471976, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('max', '50', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.14') set bandwidth('min', '10', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.6926025028132474, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') block service('CounterStrike'), service('Sony Playstation 2')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.80') block traffic('any') protocol('dns'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.3330780215726588, 4, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]",0
define intent stnIntent: for group('guests') allow traffic('any') protocol('https'),define intent hypIntent: for group('guests') block traffic('H323 video conferencing') protocol('POP3'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0.10317894927633131, 2, 0.443722677392722, 2, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') allow service('amazon prime video') traffic('file sharing') start hour('06:10') end hour('09:30'),define intent hypIntent: for group('students') allow traffic('email') protocol('http') start hour('15:00') end hour('18:20'),"[3, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0.47112942478618297, 2, 0, 1, 0, 0]",0
define intent stnIntent: for group('guests') add middlebox('overuse notification'),"define intent hypIntent: for group('guests') remove middlebox('overuse notification'), middlebox('parental control')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.6203904760625778, 3]",1
"define intent stnIntent: for group('students') add middlebox('overuse notification'), middlebox('traffics monitor'), middlebox('firewall')",define intent stnIntent: for group('dorms') allow service('Everquest') protocol('scp'),"[3, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('min', '70', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.6') set bandwidth('max', '20', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.876672075130216, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('any', '2', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('upload', '5', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('min', '60', 'mbps')","define intent hypIntent: for group('scholarly person') set bandwidth('min', '50', 'mbps')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') set bandwidth('max', '60', 'mbps') start hour('04:10') end hour('09:00')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') set bandwidth('max', '60', 'mbps') start hour('14:20') end hour('17:00')","[2, 0, 0, 0, 0, 0, 0, 4.0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('students') allow traffic('email') protocol('ftp'),define intent hypIntent: for group('students') block protocol('snmp'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0.43015128658009427, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('load balancer'), middlebox('copyright monitoring'), middlebox('unit firewall')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.68') allow traffic('peer2peer') protocol('telnet'),"[2, 1, 1440.0, 0, 0, 0, 0, 3.314631272386986, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') set bandwidth('min', '10', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.37') set bandwidth('max', '60', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.124018988087532, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('ids'), middlebox('firewall'), middlebox('parental control')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') allow service('PC Telephone'), service('stremio')","[2, 1, 1440.0, 0, 0, 1, 0, 2.3209725339667653, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.91') set bandwidth('max', '60', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set bandwidth('max', '30', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.1369206501619376, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.45') set quota('upload', '8', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') unset bandwidth('min', '80', 'mbps')","[3, 1, 1440.0, 1, 0, 1, 0, 3.192331811638829, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set quota('upload', '8', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.24') set quota('any', '5', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.1233999975474425, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('copyright monitoring'), middlebox('ips'), middlebox('overuse notification')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.89') add middlebox('overuse notification'), middlebox('load balancer'), middlebox('dpi')","[5, 1, 1440.0, 0, 0, 1, 0, 3.2385688873755862, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3.968373797775181, 6]",0
"define intent stnIntent: for group('students') add middlebox('load balancer'), middlebox('parental control'), middlebox('unit firewall')",define intent hypIntent: for group('students') remove middlebox('load balancer'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.8859880605490784, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('any', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.9') set quota('download', '7', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.8694993873285437, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('dpi'), middlebox('overuse notification'), middlebox('ids') start hour('10:00') end hour('15:40')","define intent hypIntent: for group('guests') remove middlebox('ids'), middlebox('overuse notification') start hour('09:10') end hour('19:40')","[5, 1, 341.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.8283003382771166, 5]",1
"define intent stnIntent: for group('guests') set quota('download', '1', 'gb/wk')","define intent hypIntent: for group('guest users') set quota('upload', '9', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('students') add middlebox('unit firewall'),"define intent hypIntent: for group('educatee') remove middlebox('unit firewall'), middlebox('load balancer')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.556212712286062, 3]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.18') allow service('facebook') traffic('file sharing') start hour('02:00') end hour('13:10'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.36') block traffic('streaming'), traffic('file sharing') start hour('15:00') end hour('16:40')","[3, 1, 0, 1, 0, 0, 1, 2.305100155300999, 4, 0, 1, 0, 0, 1.6003613193133353, 3, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') add middlebox('network border system'), middlebox('firewall') start hour('08:40') end hour('14:00')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') remove middlebox('copyright monitoring'), middlebox('network border system') start hour('09:00') end hour('14:00')","[3, 1, 301.0, 1, 0, 0, 0, 2.1986916106434737, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.253718624163387, 4]",1
"define intent stnIntent: for group('students') set quota('download', '5', 'gb/wk')","define intent hypIntent: for group('students') set bandwidth('max', '10', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.66') set quota('any', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '8', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 3.4039009660831154, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') add middlebox('traffics monitor'), middlebox('dpi')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') allow service('Sorenson Videophone 200') traffic('any'),"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') add middlebox('overuse notification'), middlebox('ids'), middlebox('firewall')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.73') remove middlebox('overuse notification'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.388529334286819, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.5658520930051536, 4]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.45') allow traffic('any') protocol('icmp') start hour('04:00') end hour('12:20'),define intent hypIntent: for group('students') block traffic('torrent') protocol('udp') start hour('15:30') end hour('16:00'),"[3, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0.15985230099784814, 2, 0.373977605044758, 2, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('listserver') traffic('peer2peer'),define intent hypIntent: for group('dorms') block traffic('email') protocol('snmp'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0.6151718674549755, 2, 0, 1, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.57') add middlebox('unit firewall'),define intent hypIntent: for group('guests') remove middlebox('traffics monitor'),"[5, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0.40286289878863474, 2]",0
"define intent stnIntent: for group('students') set bandwidth('max', '50', 'mbps')","define intent hypIntent: for group('students') set bandwidth('min', '60', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') add middlebox('unit firewall'),"define intent hypIntent: for group('bookman') remove middlebox('ids'), middlebox('dpi')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.42491294760098175, 3]",0
define intent stnIntent: for group('students') allow service('popcorn time') traffic('streaming'),"define intent hypIntent: for group('student') block protocol('scp'), protocol('quic')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0]",1
define intent stnIntent: for group('guests') allow service('file transfer') protocol('IMAP'),define intent hypIntent: for group('non registered users') allow traffic('H323 video conferencing') protocol('ftp'),"[5, 1, 1440.0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0.4999979491631403, 2, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.5'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.0540688250801304, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') add middlebox('traffics monitor'), middlebox('network border system'), middlebox('parental control')",define intent stnIntent: for group('guests') allow service('Sorenson Videophone 200') traffic('streaming'),"[2, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 3]",0
"define intent stnIntent: for group('guests') set bandwidth('min', '70', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('max', '70', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') remove middlebox('dpi'), middlebox('ips')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.70') remove middlebox('load balancer'), middlebox('overuse notification'), middlebox('dpi')","[5, 1, 1440.0, 0, 0, 1, 0, 3.3805298978798897, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.2540938025549067, 5]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') allow service('listserver') protocol('scp'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.90') block traffic('video conference') protocol('smtp'),"[5, 1, 1440.0, 1, 0, 1, 1, 3.236017587221995, 4, 0, 1, 0, 0, 0, 1, 0.3779490199587918, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') set quota('upload', '6', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.54') set quota('upload', '5', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.0795317066007115, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') set quota('any', '5', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('upload', '9', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') add middlebox('network border system'), middlebox('load balancer')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') allow service('MSN application sharing') protocol('ftp'),"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.67'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.3107273756430606, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('upload', '2', 'gb/wk') start hour('06:30') end hour('10:20')","define intent hypIntent: for group('guests') set quota('any', '7', 'gb/wk') start hour('15:20') end hour('16:10')","[5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('download', '3', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('any', '6', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 3.487303773653733, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') unset quota('upload', '4', 'gb/wk')","define intent hypIntent: for group('dorms') unset bandwidth('max', '40', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('max', '80', 'mbps')","define intent hypIntent: for group('students') set bandwidth('min', '80', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('max', '90', 'mbps')","define intent hypIntent: for group('students') set quota('download', '8', 'gb/wk')","[3, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow traffic('email'), traffic('social media')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.48') block traffic('H323 video conferencing') protocol('https'),"[5, 1, 1440.0, 1, 0, 1, 1, 3.4343372161949755, 4, 0, 0, 0, 0, 0.9514384206265868, 3, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set quota('any', '7', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.76') set quota('download', '8', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.441363731640869, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') allow service('Sony Playstation 2'), service('Sorenson Videophone 200') start hour('08:10') end hour('16:10')",define intent hypIntent: for group('dorms') block service('MSN video') traffic('voip') start hour('12:40') end hour('16:30'),"[5, 1, 211.0, 1, 1, 1, 1, 0, 0, 0.9456386652867617, 3, 1, 2, 0, 1, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('upload', '8', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('max', '60', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set quota('download', '8', 'gb/wk')","define intent hypIntent: for group('non registered users') set quota('download', '1', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') unset bandwidth('min', '50', 'mbps')","define intent hypIntent: for group('guests') unset bandwidth('max', '10', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '3', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 3.5567225358904384, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') allow service('irc'), service('amazon prime video')",define intent hypIntent: for group('dormitory') block traffic('voip') protocol('secure POP'),"[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 0]",0
define intent stnIntent: for group('students') allow traffic('streaming') protocol('telnet') start hour('08:30') end hour('19:30'),"define intent hypIntent: for group('students') block protocol('tcp'), protocol('udp') start hour('09:30') end hour('19:30')","[5, 1, 601.0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0.8995903382497202, 3, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') unset bandwidth('min', '60', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') unset quota('download', '6', 'gb/wk')","[3, 1, 1440.0, 0, 0, 0, 0, 3.487303773653733, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set bandwidth('max', '50', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('max', '30', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '60', 'mbps') start hour('06:10') end hour('10:10')","define intent hypIntent: for group('guests') set quota('download', '6', 'gb/wk') start hour('14:00') end hour('16:20')","[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.44') allow service('file transfer') traffic('video conference'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') block service('Net2Phone') traffic('H323 video conferencing'),"[3, 1, 1440.0, 1, 0, 1, 1, 3.2965275495361817, 4, 0.30720751869545027, 2, 0, 0, 0.5490381454423069, 2, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') add middlebox('ids'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.17') remove middlebox('parental control'),"[5, 1, 1440.0, 1, 0, 1, 0, 2.4968668495585655, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.13679988021648656, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.57') add middlebox('ips'), middlebox('overuse notification')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') remove middlebox('ips'),"[3, 1, 1440.0, 1, 0, 1, 0, 3.2873299513442555, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.0170582025710617, 3]",1
"define intent stnIntent: for group('students') add middlebox('ips'), middlebox('traffics monitor'), middlebox('unit firewall')","define intent hypIntent: for group('pupil') remove middlebox('dpi'), middlebox('copyright monitoring')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.940865161414661, 5]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set quota('download', '4', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.79') set quota('any', '5', 'gb/wk')","[4, 0, 1440.0, 0, 0, 1, 0, 3.249140832586106, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') add middlebox('dpi'), middlebox('load balancer')",define intent hypIntent: for group('students') remove middlebox('firewall'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0.6967917209534775, 3]",0
"define intent stnIntent: for group('guests') set bandwidth('min', '20', 'mbps')","define intent hypIntent: for group('guest') set bandwidth('max', '70', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set bandwidth('max', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.93') unset quota('download', '2', 'gb/wk')","[3, 1, 1440.0, 1, 0, 0, 0, 3.4668325190867484, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('students') allow service('MSN audio') traffic('social media'),define intent hypIntent: for group('students') block service('facebook') traffic('peer2peer'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.3292859921892184, 2, 1, 2, 0.34804717672386226, 2, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '90', 'mbps')","define intent hypIntent: for group('non registered users') set quota('any', '5', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('overuse notification'), middlebox('network border system') start hour('09:10') end hour('18:00')","define intent hypIntent: for group('dorms') remove middlebox('overuse notification'), middlebox('network border system'), middlebox('dpi') start hour('08:20') end hour('16:00')","[3, 1, 411.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.611806038585889, 5]",1
"define intent stnIntent: for group('students') set quota('any', '9', 'gb/wk')","define intent hypIntent: for group('bookman') set quota('upload', '2', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('copyright monitoring'), middlebox('ids'), middlebox('traffics monitor')",define intent hypIntent: for group('guests') remove middlebox('ids'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.5030285921876088, 4]",1
"define intent stnIntent: for group('dorms') set bandwidth('min', '50', 'mbps') start hour('03:10') end hour('11:40')","define intent hypIntent: for group('dorms') set quota('any', '8', 'gb/wk') start hour('15:10') end hour('18:00')","[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('MSN application sharing') traffic('gaming'),"define intent hypIntent: for group('hall') block traffic('torrent'), traffic('social media')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0.6827961185698064, 3, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') allow service('Everquest') traffic('gaming'),"define intent hypIntent: for group('scholarly person') block protocol('udp'), protocol('telnet')","[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0]",0
